,smiles,value,mu
979,N#CC1CN2CC=CC12,-0.2357,3.168
980,OC12CC1CC1(CN1)C2,-0.2413,0.6623
981,CC(C)C#CC(=O)N,-0.2487,3.9521
982,O=C(C#N)C12CN(C1)C2,-0.2523,2.0745
983,OC12CC(O)(C=C1)C=C2,-0.2289,2.7619
984,OC1C2CCC2NC1=O,-0.2477,3.5632
985,CC(C#N)C1CCCC1,-0.3101,4.0556
986,CC1COCC1C#N,-0.2738,3.0149
987,OCCC12CC1CCO2,-0.2269,1.3405
988,CC1(CC1)OC(=O)C#N,-0.2993,4.3833
989,CC(O)C1COCC1=O,-0.248,1.3351
990,O=C1CC2CC3C1N3C2,-0.2354,3.4212
991,COCC(CC#C)C#C,-0.255,1.6881
992,CC#CCCN=COC,-0.2379,2.9486
993,C1C(COC(=O)O1)C=O,-0.2812,3.752
994,O=C1CC23COC2CN13,-0.249,2.5807
995,CC1OC1(CO)CCO,-0.2575,1.3076
996,N=COC1COC11CC1,-0.2384,3.0239999999999996
997,NC1=NC(O)=CC(=N)O1,-0.2036,5.3596
998,[O-]C(=O)C1C2CC(=[NH2+])N12,-0.2661,2.9755
999,N#CC1CC2COC12,-0.2636,5.3501
